character,BASHIR,DAX,GARAK,JAKE,KIRA,NOG,ODO,O_BRIEN,QUARK,ROM,SISKO,WORF,total_lines,ep,season,title
BASHIR,0,4,0,0,13,0,3,5,1,0,3,0,17,0,1,Emissary (parts 1 & 2)
DAX,4,2,0,0,12,0,0,13,1,0,49,0,51,0,1,Emissary (parts 1 & 2)
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
JAKE,0,0,0,0,0,0,0,4,0,0,27,0,20,0,1,Emissary (parts 1 & 2)
KIRA,13,12,0,0,12,0,10,36,5,0,20,0,64,0,1,Emissary (parts 1 & 2)
NOG,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,Emissary (parts 1 & 2)
ODO,3,0,0,0,10,0,0,1,9,0,4,0,18,0,1,Emissary (parts 1 & 2)
O_BRIEN,5,13,0,4,36,0,1,2,2,0,21,0,67,0,1,Emissary (parts 1 & 2)
QUARK,1,1,0,0,5,0,9,2,0,0,11,0,16,0,1,Emissary (parts 1 & 2)
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
SISKO,3,49,0,27,20,0,4,21,11,0,10,0,180,0,1,Emissary (parts 1 & 2)
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emissary (parts 1 & 2)
BASHIR,2,2,21,0,3,0,1,4,0,0,18,0,31,1,1,Past Prologue
DAX,2,2,0,0,0,0,0,0,0,0,6,0,8,1,1,Past Prologue
GARAK,21,0,0,0,0,0,0,0,0,0,0,0,21,1,1,Past Prologue
JAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
KIRA,3,0,0,0,2,0,25,5,0,0,36,0,85,1,1,Past Prologue
NOG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
ODO,1,0,0,0,25,0,2,0,0,0,27,0,33,1,1,Past Prologue
O_BRIEN,4,0,0,0,5,0,0,0,0,0,27,0,24,1,1,Past Prologue
QUARK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
ROM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
SISKO,18,6,0,0,36,0,27,27,0,0,8,0,85,1,1,Past Prologue
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Past Prologue
BASHIR,2,14,0,0,2,1,16,1,0,0,23,0,34,2,1,A_Man Alone
DAX,14,0,0,0,2,0,0,1,0,0,16,0,18,2,1,A_Man Alone
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
JAKE,0,0,0,0,0,8,0,0,0,0,4,0,9,2,1,A_Man Alone
KIRA,2,2,0,0,2,0,12,6,0,0,13,0,23,2,1,A_Man Alone
NOG,1,0,0,8,0,0,0,0,0,0,0,0,5,2,1,A_Man Alone
ODO,16,0,0,0,12,0,6,2,27,0,23,0,63,2,1,A_Man Alone
O_BRIEN,1,1,0,0,6,0,2,0,0,0,5,0,24,2,1,A_Man Alone
QUARK,0,0,0,0,0,0,27,0,0,0,0,0,18,2,1,A_Man Alone
ROM,0,0,0,0,0,0,0,0,0,2,1,0,12,2,1,A_Man Alone
SISKO,23,16,0,4,13,0,23,5,0,1,0,0,56,2,1,A_Man Alone
WORF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,A_Man Alone
BASHIR,0,3,0,1,5,0,3,4,0,0,38,0,38,3,1,Babel
DAX,3,0,0,0,5,0,0,5,4,0,4,0,13,3,1,Babel
GARAK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Babel
